q3_curso,q4_institucion,q5_grado,q7_sesion,n_alumnos,q8_fecha_clase,pct_puntaje,duration_h,asistencia,logro,proceso,inicio,pct_asistencia,pct_logro,pct_proceso,pct_inicio
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,29,13apr2026,.3125,2.6666667,4,0,2,2,.13793103,0,.5,.5
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,29,16apr2026,.5,2.6666667,3,0,3,0,.10344828,0,1,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),29,15apr2026,.5,1.3333334,2,0,1,1,.068965517,0,.5,.5
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,22,06apr2026,.46875,2.6666667,8,4,1,3,.36363637,.5,.125,.375
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,29,09apr2026,.6875,2.6666667,15,8,1,3,.51724136,.53333336,.06666667,.2
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),29,08apr2026,,1.3333334,9,0,0,0,.31034482,0,0,0
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),29,11apr2026,.33333334,1.3333334,3,0,1,2,.10344828,0,.33333334,.66666669
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Sesión de reforzamiento,23,14apr2026,.64999998,2.6666667,5,3,2,0,.2173913,.60000002,.40000001,0
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Sesión de reforzamiento,23,07apr2026,.69999999,2.6666667,5,4,0,1,.2173913,.80000001,0,.2
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Sesión de reforzamiento,23,10apr2026,.8125,2.6666667,4,4,0,0,.17391305,1,0,0
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Sesión de consolidación (miércoles y sábados),23,08apr2026,,1.3333334,5,0,0,0,.2173913,0,0,0
Matemática,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Sesión de consolidación (miércoles y sábados),23,11apr2026,.69999999,1.3333334,5,4,1,0,.2173913,.80000001,.2,0
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de reforzamiento,24,06apr2026,.61842108,2.6666667,19,14,2,3,.79166669,.7368421,.10526316,.15789473
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de reforzamiento,21,07apr2026,.55263156,2.6666667,19,9,7,3,.90476191,.47368422,.36842105,.15789473
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de consolidación (miércoles y sábados),22,08apr2026,.52499998,1.3333334,11,1,9,0,.5,.090909094,.81818181,0
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de consolidación (miércoles y sábados),23,08apr2026,.5,1.3333334,5,0,6,0,.2173913,0,1.2,0
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de reforzamiento,23,13apr2026,.5,2.6666667,16,7,3,6,.69565219,.4375,.1875,.375
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de reforzamiento,22,14apr2026,.6388889,2.6666667,18,10,4,4,.81818181,.55555558,.22222222,.22222222
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de consolidación (miércoles y sábados),22,15apr2026,.58333331,1.3333334,3,1,2,0,.13636364,.33333334,.66666669,0
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Sesión de consolidación (miércoles y sábados),23,15apr2026,.70454544,1.3333334,11,8,2,1,.47826087,.72727275,.18181819,.090909094
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de reforzamiento,22,09apr2026,.66666669,2.6666667,18,13,4,1,.81818181,.72222221,.22222222,.055555556
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de reforzamiento,21,10apr2026,.53333336,2.6666667,15,7,3,5,.71428573,.46666667,.2,.33333334
Lectoescritura,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de consolidación (miércoles y sábados),21,11apr2026,1.6666666,1.3333334,6,5,0,1,.2857143,.83333331,0,.16666667
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de reforzamiento,22,16apr2026,.75,2.6666667,8,6,1,1,.36363637,.75,.125,.125
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de reforzamiento,21,17apr2026,.7361111,2.6666667,18,13,4,1,.85714287,.72222221,.22222222,.055555556
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de consolidación (miércoles y sábados),21,18apr2026,1,1.3333334,5,5,0,0,.23809524,1,0,0
Matemática,I.E Monseñor Javier Aris Huarte (Kirigueti),5to de Secundaria,Sesión de consolidación (miércoles y sábados),22,18apr2026,1,1.3333334,4,4,0,0,.18181819,1,0,0
Lectoescritura,I.E Juan Santos Atahualpa (Camisea),4to de Secundaria,Sesión de reforzamiento,35,06apr2026,.70769233,2.6666667,13,6,5,2,.37142858,.46153846,.38461539,.15384616
Lectoescritura,I.E Juan Santos Atahualpa (Camisea),4to de Secundaria,Sesión de reforzamiento,35,09apr2026,.75,2.6666667,6,4,1,1,.17142858,.66666669,.16666667,.16666667
Lectoescritura,I.E Juan Santos Atahualpa (Camisea),4to de Secundaria,Sesión de consolidación (miércoles y sábados),35,08apr2026,.72727275,1.3333334,11,9,2,0,.31428573,.81818181,.18181819,0
