q3_curso,q4_institucion,q5_grado,q7_sesion,n_alumnos,q8_fecha_clase,nombre_tema_A,nombre_tema_B,comment_class,pct_puntaje,duration_h,asistencia,logro,proceso,inicio,pct_asistencia,pct_logro,pct_proceso,pct_inicio
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,13apr2026,Textos descriptivos,,Baja asistencia,.3125,2.6666667,4,0,2,2,.14285715,0,.5,.5
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,16apr2026,Textos instructivos,,Ninguno,.5,2.6666667,3,0,3,0,.10714286,0,1,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,27apr2026,Textos narrativos I,,Baja asistencia,.60714287,2.6666667,14,5,9,0,.5,.35714287,.64285713,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,30apr2026,Textos narrativos I,,Baja asistencia,.60000002,2.6666667,1,0,1,0,.035714287,0,1,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,11may2026,Textos narrativos II,,Baja asistencia,.5,2.6666667,4,1,1,2,.14285715,.25,.25,.5
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,14may2026,Textos narrativos II,,Ninguno,.5714286,2.6666667,7,3,2,2,.25,.42857143,.2857143,.2857143
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,08jun2026,Textos narrativos III,,Dirección canceló la clase por motivo de festividad en la comunidad,,2.6666667,0,0,0,0,0,,,
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,09jun2026,Textos narrativos III,,La clase solo duro 1 hora ,.80000001,2.6666667,2,1,1,0,.071428575,.5,.5,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,12jun2026,Textos narrativos II,,Los estudiantes no asistieron a la clase ,,2.6666667,0,0,0,0,0,,,
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,26jun2026,Textos expositivos I,,Textos expositivos ,.80000001,2.6666667,4,4,0,0,.14285715,1,0,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,07jul2026,Textos expositivos II,,No hubo mucha asistencia ,.375,2.6666667,2,0,1,1,.071428575,0,.5,.5
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,09jul2026,Textos narrativos II,,Se trabajaron textos expositivos pero también se hizo un repaso de los anteriores temas ya que los estudiantes habían faltado a varias clases,.75,2.6666667,3,2,1,0,.10714286,.66666669,.33333334,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de reforzamiento,28,10jul2026,Textos argumentativos I,,Se trabajaron textos argumentativos,.625,2.6666667,8,4,1,3,.2857143,.5,.125,.375
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,15apr2026,Textos descriptivos,,Baja asistencia ,.55555558,1.3333334,3,0,2,1,.10714286,0,.66666669,.33333334
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,18apr2026,Textos instructivos,,No hubo asistencia ,,1.3333334,0,0,0,0,0,,,
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,29apr2026,Textos narrativos I,,Ninguno,.5,1.3333334,4,1,2,1,.14285715,.25,.5,.25
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,02may2026,Textos narrativos I,,Baja asistencia,.66666669,1.3333334,1,0,1,0,.035714287,0,1,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,13may2026,Textos narrativos II,,Ninguna,.66666669,1.3333334,3,2,1,0,.10714286,.66666669,.33333334,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,16may2026,Textos narrativos I,,Ninguno,.40000001,1.3333334,7,1,1,5,.25,.14285715,.14285715,.71428573
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,13jun2026,Textos narrativos II,,No hubo mucha asistencia ,.25,1.3333334,1,0,0,1,.035714287,0,0,1
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,27jun2026,Textos expositivos I,,Textos expositivos ,.80000001,1.3333334,4,4,0,0,.14285715,1,0,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,08jul2026,Textos expositivos II,,Se trabajaron textos expositivos,.75,1.3333334,4,3,1,0,.14285715,.75,.25,0
Lectoescritura,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Sesión de consolidación (miércoles y sábados),28,11jul2026,Textos argumentativos I,,Se trabajaron textos argumentativos,.083333336,1.3333334,3,0,0,3,.10714286,0,0,1
