q3_curso,q4_institucion,q5_grado,q7_sesion,n_alumnos,q8_fecha_clase,nombre_tema_A,nombre_tema_B,comment_class,pct_puntaje,duration_h,asistencia,logro,proceso,inicio,pct_asistencia,pct_logro,pct_proceso,pct_inicio
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Taller,28,08apr2026,Autoestima,,"Todo excelente, los estudiantes muy participativos, solo que no llegó el refrigerio que se había prometido.",,1.3333334,10,0,0,0,.35714287,0,0,0
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Taller,28,11apr2026,Mentalidad de crecimiento,,Se pudo usar el proyector y eso favoreció la sesión.,,1.3333334,3,0,0,0,.10714286,0,0,0
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Taller,28,09may2026,Autoeficacia,,"El taller se desarrolló de la mejor manera, los estudiantes fueron muy participativos y mostraron interés. Aunque no se pudo usar el proyector, porque cortaron la energía una hora antes, se usó la pizarra. Los refrigerios se distribuyeron a cada uno y en doble proporción, teniendo en cuenta que en el primer taller no llegaron y se les debía dos refrigerios. Asistió un estudiante de 3ro: Jorge Javier Chumbislla Cruz.",,1.3333334,11,0,0,0,.39285713,0,0,0
Taller de Identidad Cultural,I.E Carlos Ríos Ríos (Nuevo Mundo),4to de Secundaria,Taller,28,29apr2026,Revalorizando los conocimientos de mi comunidad,,.,,1.3333334,4,0,0,0,.14285715,0,0,0
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Taller,23,08apr2026,Autoestima,,"Todo excelente, los estudiantes muy participativos, solo que no llegó el refrigerio que se había prometido.",,1.3333334,5,0,0,0,.2173913,0,0,0
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Taller,23,11apr2026,Mentalidad de crecimiento,,Se pudo usar el proyector y eso favoreció la sesión.,,1.3333334,5,0,0,0,.2173913,0,0,0
Taller de Habilidades Socioemocionales,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Taller,23,09may2026,Autoeficacia,,"El taller se desarrolló de la mejor manera, los estudiantes fueron muy participativos y mostraron interés. Aunque no se pudo usar el proyector, porque cortaron la energía una hora antes, se usó la pizarra. Los refrigerios se distribuyeron a cada uno y en doble proporción, teniendo en cuenta que en el primer taller no llegaron y se les debía dos refrigerios. Asistió un estudiante de 3ro: Jorge Javier Chumbislla Cruz.",,1.3333334,4,0,0,0,.17391305,0,0,0
Taller de Identidad Cultural,I.E Carlos Ríos Ríos (Nuevo Mundo),5to de Secundaria,Taller,23,29apr2026,Revalorizando los conocimientos de mi comunidad,,.,,1.3333334,3,0,0,0,.13043478,0,0,0
Taller de Habilidades Socioemocionales,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Taller,22,15apr2026,Autoestima,,"La sesión se llevó a cabo de la mejor manera, ya que la institución cuenta con micrófono, proyector y un espacio amplio, ventilado y con luz. Más si hubiera sido excelente realizar el taller en un lugar donde haya mesas para los estudiantes y así puedan desarrollar sus fichas de trabajo más cómodos, aún así, los estudiantes realizaron todo lo que se les pidió con mucho esmero.",,1.3333334,12,0,0,0,.54545456,0,0,0
Taller de Habilidades Socioemocionales,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Taller,23,15apr2026,Autoestima,,"La sesión se llevó a cabo de la mejor manera, ya que la institución cuenta con micrófono, proyector y un espacio amplio, ventilado y con luz. Más si hubiera sido excelente realizar el taller en un lugar donde haya mesas para los estudiantes y así puedan desarrollar sus fichas de trabajo más cómodos, aún así, los estudiantes realizaron todo lo que se les pidió con mucho esmero.",,1.3333334,18,0,0,0,.78260869,0,0,0
Taller de Habilidades Socioemocionales,I.E Monseñor Javier Aris Huarte (Kirigueti),4to de Secundaria,Taller,22,18apr2026,Mentalidad de crecimiento,,"Todo bien con el taller, se pudo usar todos los implementos necesarios como proyector, parlante y micrófono. Solo faltó que lleguen los refrigerios. ",,1.3333334,7,0,0,0,.31818181,0,0,0
